Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     INR -0.01026660 -0.00831284 -0.00551129 -0.00368201 -0.00147736 -0.00000044  0.00158220  0.00418388  0.00625667  0.00895529  0.01178652  0.00011446 0.00383745   0.23587487    9.52314481           6886
     IQD -0.01845273 -0.01254679 -0.00759286 -0.00485311 -0.00107437 -0.00000294  0.00087895  0.00483748  0.00762077  0.01295299  0.01701323  0.00121473 0.10109653  77.99159345 6337.01691224           6882
     IRR -0.01384750 -0.01026828 -0.00630848 -0.00361775 -0.00040747  0.00000000  0.00059419  0.00389380  0.00673813  0.01150560  0.01655867  0.00092315 0.04328406  62.79462024 4294.50917518           6884
     ISK -0.01827383 -0.01477761 -0.01065038 -0.00777350 -0.00374892  0.00000000  0.00371600  0.00793420  0.01110143  0.01528120  0.02031349  0.00007754 0.01442623  11.85161505 1915.76853279           6886
     ITL -0.01553189 -0.01318489 -0.00995648 -0.00724528 -0.00345270  0.00000000  0.00335137  0.00728493  0.01015298  0.01310222  0.01593977 -0.00002949 0.00614047  -0.14729115    2.53664207           4805
     JMD -0.01952440 -0.01387750 -0.00915184 -0.00612895 -0.00194847  0.00000687  0.00204667  0.00650156  0.01006825  0.01571779  0.02212111  0.00019835 0.00732955   0.64492841   34.80437611           6886
     JOD -0.00293111 -0.00202971 -0.00130238 -0.00077712 -0.00025304 -0.00000307  0.00024185  0.00077626  0.00132678  0.00200369  0.00292692 -0.00000022 0.00127082   0.70877798  159.06428174           6886
     JPY -0.01736615 -0.01367075 -0.00982165 -0.00694361 -0.00301984  0.00015923  0.00345598  0.00690331  0.00928480  0.01292522  0.01599184  0.00006558 0.00611920  -0.35447192    4.04972509           6886
     KES -0.01178213 -0.00887894 -0.00504715 -0.00273771 -0.00071473  0.00004485  0.00102706  0.00281978  0.00481329  0.00882945  0.01260068  0.00008377 0.00415240  -0.17154032   32.47979532           6886
     KGS -0.01833847 -0.01271577 -0.00826363 -0.00495308 -0.00122771  0.00000355  0.00141275  0.00505684  0.00849017  0.01304717  0.01930979  0.00007696 0.00657579   0.07379370   54.49973621           6782
